4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          635.47          ---          ---        28.46086        22.65500       149.50300       247.80700        48.95 
Gets         6353.02         0.33      6352.68        28.55679        22.65500       151.55100       251.90300       247.47 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6988.49         0.33      6352.68        28.54806        22.65500       151.55100       250.87900       296.41 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.431        0.000
SET       5.599        5.000
SET       9.023       10.000
SET      11.455       15.000
SET      13.311       20.000
SET      14.911       25.000
SET      16.383       30.000
SET      17.919       35.000
SET      19.455       40.000
SET      20.863       45.000
SET      22.655       50.000
SET      23.423       52.500
SET      24.319       55.000
SET      25.215       57.500
SET      26.239       60.000
SET      27.263       62.500
SET      28.415       65.000
SET      29.567       67.500
SET      30.847       70.000
SET      32.127       72.500
SET      33.791       75.000
SET      34.559       76.250
SET      35.583       77.500
SET      36.351       78.750
SET      37.375       80.000
SET      38.399       81.250
SET      39.679       82.500
SET      40.959       83.750
SET      42.239       85.000
SET      43.775       86.250
SET      45.567       87.500
SET      46.591       88.125
SET      47.615       88.750
SET      48.639       89.375
SET      49.919       90.000
SET      51.199       90.625
SET      52.479       91.250
SET      54.271       91.875
SET      56.063       92.500
SET      58.111       93.125
SET      60.671       93.750
SET      62.207       94.062
SET      63.743       94.375
SET      65.535       94.688
SET      67.583       95.000
SET      69.631       95.312
SET      72.191       95.625
SET      74.751       95.938
SET      77.823       96.250
SET      81.407       96.562
SET      86.015       96.875
SET      88.575       97.031
SET      91.135       97.188
SET      94.207       97.344
SET      97.279       97.500
SET     101.375       97.656
SET     104.959       97.812
SET     109.055       97.969
SET     114.175       98.125
SET     118.783       98.281
SET     124.415       98.438
SET     126.975       98.516
SET     130.047       98.594
SET     133.119       98.672
SET     137.215       98.750
SET     141.311       98.828
SET     144.383       98.906
SET     148.479       98.984
SET     153.599       99.062
SET     156.671       99.141
SET     161.791       99.219
SET     163.839       99.258
SET     166.911       99.297
SET     168.959       99.336
SET     172.031       99.375
