4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          642.47          ---          ---        28.23596        22.52700       148.47900       251.90300        49.49 
Gets         6423.05         0.33      6422.71        28.23794        22.52700       148.47900       249.85500       250.20 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       7065.52         0.33      6422.71        28.23776        22.52700       148.47900       250.87900       299.68 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.431        0.000
SET       5.503        5.000
SET       8.895       10.000
SET      11.263       15.000
SET      13.183       20.000
SET      14.847       25.000
SET      16.383       30.000
SET      17.919       35.000
SET      19.455       40.000
SET      20.991       45.000
SET      22.527       50.000
SET      23.423       52.500
SET      24.319       55.000
SET      25.215       57.500
SET      26.111       60.000
SET      27.135       62.500
SET      28.159       65.000
SET      29.311       67.500
SET      30.591       70.000
SET      31.871       72.500
SET      33.535       75.000
SET      34.303       76.250
SET      35.071       77.500
SET      35.839       78.750
SET      36.863       80.000
SET      37.887       81.250
SET      39.167       82.500
SET      40.191       83.750
SET      41.727       85.000
SET      43.007       86.250
SET      44.799       87.500
SET      45.567       88.125
SET      46.591       88.750
SET      47.615       89.375
SET      48.639       90.000
SET      49.919       90.625
SET      51.455       91.250
SET      52.991       91.875
SET      54.783       92.500
SET      56.831       93.125
SET      59.135       93.750
SET      60.415       94.062
SET      61.951       94.375
SET      63.743       94.688
SET      65.535       95.000
SET      68.095       95.312
SET      70.655       95.625
SET      73.727       95.938
SET      77.311       96.250
SET      81.919       96.562
SET      86.527       96.875
SET      89.087       97.031
SET      92.159       97.188
SET      95.743       97.344
SET      99.327       97.500
SET     102.399       97.656
SET     106.495       97.812
SET     111.103       97.969
SET     115.199       98.125
SET     119.807       98.281
SET     125.439       98.438
SET     127.999       98.516
SET     131.071       98.594
SET     134.143       98.672
SET     137.215       98.750
SET     140.287       98.828
SET     144.383       98.906
SET     147.455       98.984
SET     151.551       99.062
SET     155.647       99.141
SET     159.743       99.219
SET     162.815       99.258
SET     164.863       99.297
SET     166.911       99.336
SET     171.007       99.375
