4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          958.05          ---          ---        18.93831        15.48700        96.76700       175.10300        73.80 
Gets         9578.89         1.00      9577.89        18.94799        15.48700        97.27900       174.07900       373.16 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      10536.94         1.00      9577.89        18.94711        15.48700        96.76700       174.07900       446.97 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.239        0.000
SET       2.863        5.000
SET       5.567       10.000
SET       7.423       15.000
SET       8.895       20.000
SET      10.047       25.000
SET      11.135       30.000
SET      12.159       35.000
SET      13.247       40.000
SET      14.335       45.000
SET      15.487       50.000
SET      16.063       52.500
SET      16.767       55.000
SET      17.407       57.500
SET      18.047       60.000
SET      18.815       62.500
SET      19.583       65.000
SET      20.351       67.500
SET      21.119       70.000
SET      22.015       72.500
SET      23.039       75.000
SET      23.551       76.250
SET      24.063       77.500
SET      24.703       78.750
SET      25.343       80.000
SET      25.983       81.250
SET      26.751       82.500
SET      27.519       83.750
SET      28.287       85.000
SET      29.183       86.250
SET      30.207       87.500
SET      30.719       88.125
SET      31.359       88.750
SET      31.999       89.375
SET      32.767       90.000
SET      33.535       90.625
SET      34.303       91.250
SET      35.327       91.875
SET      36.351       92.500
SET      37.375       93.125
SET      38.911       93.750
SET      39.679       94.062
SET      40.447       94.375
SET      41.471       94.688
SET      42.495       95.000
SET      43.775       95.312
SET      45.055       95.625
SET      46.591       95.938
SET      48.127       96.250
SET      50.175       96.562
SET      52.479       96.875
SET      53.759       97.031
SET      55.551       97.188
SET      57.087       97.344
SET      59.135       97.500
SET      61.695       97.656
SET      63.999       97.812
SET      67.071       97.969
SET      70.143       98.125
SET      73.727       98.281
SET      77.823       98.438
SET      80.383       98.516
SET      82.431       98.594
SET      84.991       98.672
SET      87.551       98.750
SET      90.111       98.828
SET      92.671       98.906
SET      96.255       98.984
SET      99.327       99.062
SET     102.911       99.141
SET     106.495       99.219
SET     108.543       99.258
SET     110.591       99.297
SET     112.639       99.336
SET     115.199       99.375
SET     117.759       99.414
SET     120.319       99.453
SET     122.879       99.492
SET     125.951       99.531
SET     129.535       99.570
SET     133.119       99.609
SET     135.167       99.629
SET     137.215       99.648
SET     139.263       99.668
SET     140.287       99.688
SET     142.335       99.707
SET     144.383       99.727
SET     146.431       99.746
SET     148.479       99.766
SET     151.551       99.785
SET     154.623       99.805
SET     155.647       99.814
SET     157.695       99.824
SET     159.743       99.834
SET     161.791       99.844
SET     163.839       99.854
SET     165.887       99.863
SET     167.935       99.873
SET     169.983       99.883
SET     172.031       99.893
SET     175.103       99.902
SET     177.151       99.907
SET     179.199       99.912
SET     180.223       99.917
SET     181.247       99.922
SET     183.295       99.927
SET     185.343       99.932
SET     187.391       99.937
SET     189.439       99.941
SET     191.487       99.946
SET     194.559       99.951
SET     196.607       99.954
SET     198.655       99.956
SET     199.679       99.958
SET     200.703       99.961
SET     202.751       99.963
SET     203.775       99.966
SET     207.871       99.968
SET     209.919       99.971
SET     211.967       99.973
SET     216.063       99.976
SET     217.087       99.977
SET     218.111       99.978
SET     219.135       99.979
SET     221.183       99.980
SET     223.231       99.982
SET     224.255       99.983
SET     226.303       99.984
SET     228.351       99.985
SET     232.447       99.987
SET     234.495       99.988
SET     237.567       99.988
SET     240.639       99.989
SET     247.807       99.990
SET     252.927       99.990
SET     257.023       99.991
SET     259.071       99.991
SET     261.119       99.992
SET     264.191       99.993
SET     270.335       99.993
SET     274.431       99.994
SET     274.431       99.994
SET     276.479       99.995
SET     278.527       99.995
SET     284.671       99.995
SET     286.719       99.995
SET     290.815       99.996
SET     292.863       99.996
SET     294.911       99.996
SET     296.959       99.997
SET     311.295       99.997
SET     311.295       99.997
SET     313.343       99.997
SET     313.343       99.997
SET     313.343       99.998
SET     315.391       99.998
SET     317.439       99.998
SET     321.535       99.998
SET     325.631       99.998
SET     325.631       99.998
SET     325.631       99.998
SET     325.631       99.999
SET     331.775       99.999
SET     331.775       99.999
SET     331.775       99.999
