4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1561.20          ---          ---        11.64451         9.79100        52.22300       111.10300       120.27 
Gets        15610.39         3.00     15607.39        11.62909         9.79100        52.47900       110.59100       608.17 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      17171.59         3.00     15607.39        11.63049         9.79100        52.47900       110.59100       728.44 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.239        0.000
SET       3.103        5.000
SET       4.639       10.000
SET       5.663       15.000
SET       6.495       20.000
SET       7.007       25.000
SET       7.583       30.000
SET       8.127       35.000
SET       8.767       40.000
SET       9.215       45.000
SET       9.791       50.000
SET      10.111       52.500
SET      10.367       55.000
SET      10.687       57.500
SET      11.007       60.000
SET      11.327       62.500
SET      11.647       65.000
SET      12.095       67.500
SET      12.479       70.000
SET      12.991       72.500
SET      13.439       75.000
SET      13.695       76.250
SET      14.015       77.500
SET      14.335       78.750
SET      14.719       80.000
SET      15.103       81.250
SET      15.551       82.500
SET      15.999       83.750
SET      16.511       85.000
SET      17.151       86.250
SET      17.791       87.500
SET      18.175       88.125
SET      18.431       88.750
SET      18.815       89.375
SET      19.199       90.000
SET      19.711       90.625
SET      20.223       91.250
SET      20.735       91.875
SET      21.247       92.500
SET      22.015       93.125
SET      22.783       93.750
SET      23.167       94.062
SET      23.679       94.375
SET      24.063       94.688
SET      24.575       95.000
SET      25.215       95.312
SET      25.727       95.625
SET      26.495       95.938
SET      27.263       96.250
SET      28.159       96.562
SET      29.183       96.875
SET      29.823       97.031
SET      30.463       97.188
SET      31.231       97.344
SET      31.999       97.500
SET      33.023       97.656
SET      34.303       97.812
SET      35.327       97.969
SET      36.863       98.125
SET      38.399       98.281
SET      40.447       98.438
SET      41.471       98.516
SET      43.007       98.594
SET      44.287       98.672
SET      45.823       98.750
SET      47.615       98.828
SET      49.407       98.906
SET      51.711       98.984
SET      54.271       99.062
SET      56.831       99.141
SET      59.647       99.219
SET      61.183       99.258
SET      62.975       99.297
SET      64.511       99.336
SET      66.559       99.375
SET      68.607       99.414
SET      70.143       99.453
SET      72.191       99.492
SET      74.239       99.531
SET      76.799       99.570
SET      79.359       99.609
SET      80.383       99.629
SET      81.919       99.648
SET      83.455       99.668
SET      84.479       99.688
SET      86.527       99.707
SET      88.575       99.727
SET      90.111       99.746
SET      92.671       99.766
SET      94.207       99.785
SET      96.767       99.805
SET      97.791       99.814
SET      98.815       99.824
SET     100.351       99.834
SET     101.375       99.844
SET     102.911       99.854
SET     104.447       99.863
SET     105.471       99.873
SET     107.519       99.883
SET     109.055       99.893
SET     111.615       99.902
SET     112.639       99.907
SET     113.663       99.912
SET     114.687       99.917
SET     115.199       99.922
SET     117.247       99.927
SET     117.759       99.932
SET     119.295       99.937
SET     121.343       99.941
SET     122.879       99.946
SET     123.903       99.951
SET     125.951       99.954
SET     126.463       99.956
SET     126.975       99.958
SET     127.999       99.961
SET     129.023       99.963
SET     130.047       99.966
SET     131.071       99.968
SET     133.119       99.971
SET     134.143       99.973
SET     136.191       99.976
SET     136.191       99.977
SET     137.215       99.978
SET     139.263       99.979
SET     140.287       99.980
SET     141.311       99.982
SET     142.335       99.983
SET     143.359       99.984
SET     144.383       99.985
SET     145.407       99.987
SET     147.455       99.988
SET     148.479       99.988
SET     149.503       99.989
SET     150.527       99.990
SET     151.551       99.990
SET     152.575       99.991
SET     153.599       99.991
SET     155.647       99.992
SET     157.695       99.993
SET     158.719       99.993
SET     159.743       99.994
SET     160.767       99.994
SET     160.767       99.995
SET     161.791       99.995
SET     162.815       99.995
SET     163.839       99.995
SET     164.863       99.996
SET     166.911       99.996
SET     166.911       99.996
SET     167.935       99.997
SET     168.959       99.997
SET     171.007       99.997
SET     172.031       99.997
SET     172.031       99.997
SET     173.055       99.998
SET     174.079       99.998
SET     177.151       99.998
SET     185.343       99.998
SET     187.391       99.998
SET     190.463       99.998
SET     195.583       99.998
SET     197.631       99.999
SET     199.679       99.999
SET     199.679       99.999
SET     217.087       99.999
