4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          621.04          ---          ---        29.25549        23.67900       144.38300       234.49500        47.83 
Gets         6208.76         0.33      6208.43        29.20927        23.67900       143.35900       234.49500       241.85 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       6829.80         0.33      6208.43        29.21348        23.67900       143.35900       234.49500       289.68 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.391        0.000
SET       6.271        5.000
SET       9.791       10.000
SET      12.223       15.000
SET      14.207       20.000
SET      15.871       25.000
SET      17.535       30.000
SET      19.071       35.000
SET      20.479       40.000
SET      22.015       45.000
SET      23.679       50.000
SET      24.575       52.500
SET      25.471       55.000
SET      26.367       57.500
SET      27.263       60.000
SET      28.287       62.500
SET      29.439       65.000
SET      30.591       67.500
SET      31.999       70.000
SET      33.279       72.500
SET      34.815       75.000
SET      35.839       76.250
SET      36.607       77.500
SET      37.631       78.750
SET      38.655       80.000
SET      39.679       81.250
SET      40.703       82.500
SET      41.983       83.750
SET      43.519       85.000
SET      45.055       86.250
SET      46.591       87.500
SET      47.615       88.125
SET      48.639       88.750
SET      49.663       89.375
SET      50.943       90.000
SET      52.223       90.625
SET      53.503       91.250
SET      55.039       91.875
SET      56.831       92.500
SET      58.879       93.125
SET      60.927       93.750
SET      62.207       94.062
SET      63.743       94.375
SET      65.279       94.688
SET      67.071       95.000
SET      69.119       95.312
SET      71.679       95.625
SET      74.239       95.938
SET      77.311       96.250
SET      80.895       96.562
SET      85.503       96.875
SET      88.063       97.031
SET      91.135       97.188
SET      94.207       97.344
SET      97.279       97.500
SET     100.351       97.656
SET     103.935       97.812
SET     108.031       97.969
SET     112.127       98.125
SET     116.735       98.281
SET     121.855       98.438
SET     124.415       98.516
SET     126.975       98.594
SET     130.047       98.672
SET     133.119       98.750
SET     136.191       98.828
SET     140.287       98.906
SET     143.359       98.984
SET     147.455       99.062
SET     151.551       99.141
SET     156.671       99.219
SET     158.719       99.258
SET     160.767       99.297
SET     163.839       99.336
SET     166.911       99.375
SET     169.983       99.414
SET     173.055       99.453
SET     176.127       99.492
SET     179.199       99.531
SET     182.271       99.570
SET     186.367       99.609
SET     188.415       99.629
SET     190.463       99.648
SET     191.487       99.668
SET     194.559       99.688
SET     196.607       99.707
SET     199.679       99.727
SET     201.727       99.746
SET     204.799       99.766
SET     207.871       99.785
SET     209.919       99.805
SET     211.967       99.814
SET     214.015       99.824
SET     216.063       99.834
SET     218.111       99.844
SET     221.183       99.854
SET     223.231       99.863
SET     225.279       99.873
SET     228.351       99.883
SET     231.423       99.893
SET     235.519       99.902
SET     237.567       99.907
SET     239.615       99.912
SET     241.663       99.917
SET     242.687       99.922
SET     245.759       99.927
SET     247.807       99.932
SET     249.855       99.937
SET     251.903       99.941
SET     255.999       99.946
SET     259.071       99.951
SET     260.095       99.954
SET     261.119       99.956
SET     264.191       99.958
SET     266.239       99.961
SET     266.239       99.963
SET     268.287       99.966
SET     270.335       99.968
SET     270.335       99.971
SET     272.383       99.973
SET     276.479       99.976
SET     276.479       99.977
SET     280.575       99.978
SET     280.575       99.979
SET     282.623       99.980
SET     284.671       99.982
SET     286.719       99.983
SET     292.863       99.984
SET     294.911       99.985
SET     296.959       99.987
SET     299.007       99.988
SET     299.007       99.988
SET     299.007       99.989
SET     301.055       99.990
SET     301.055       99.990
SET     303.103       99.991
SET     307.199       99.991
SET     307.199       99.992
SET     311.295       99.993
SET     313.343       99.993
SET     323.583       99.994
SET     325.631       99.994
SET     325.631       99.995
SET     325.631       99.995
SET     325.631       99.995
SET     325.631       99.995
SET     327.679       99.996
SET     329.727       99.996
SET     331.775       99.996
SET     331.775       99.997
SET     333.823       99.997
SET     333.823       99.997
SET     333.823       99.997
SET     333.823       99.997
SET     333.823       99.998
SET     337.919       99.998
SET     339.967       99.998
SET     339.967       99.998
SET     346.111       99.998
SET     346.111       99.998
SET     350.207       99.998
SET     350.207       99.999
SET     350.207       99.999
SET     350.207       99.999
SET     350.207       99.999
SET     350.207       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     370.687       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     403.455       99.999
SET     403.455      100.000
SET     403.455      100.000
SET     403.455      100.000
SET     403.455      100.000
SET     403.455      100.000
SET     403.455      100.000
SET     403.455      100.000
SET     403.455      100.000
