4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          652.58          ---          ---        27.78292        22.78300       143.35900       239.61500        50.27 
Gets         6524.27         0.33      6523.94        27.80441        22.78300       143.35900       240.63900       254.14 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       7176.86         0.33      6523.94        27.80246        22.78300       143.35900       240.63900       304.41 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.207        0.000
SET       4.735        5.000
SET       8.383       10.000
SET      10.879       15.000
SET      12.991       20.000
SET      14.847       25.000
SET      16.383       30.000
SET      18.047       35.000
SET      19.583       40.000
SET      21.119       45.000
SET      22.783       50.000
SET      23.679       52.500
SET      24.447       55.000
SET      25.343       57.500
SET      26.367       60.000
SET      27.391       62.500
SET      28.415       65.000
SET      29.439       67.500
SET      30.719       70.000
SET      31.999       72.500
SET      33.535       75.000
SET      34.047       76.250
SET      34.815       77.500
SET      35.839       78.750
SET      36.607       80.000
SET      37.631       81.250
SET      38.655       82.500
SET      39.679       83.750
SET      40.959       85.000
SET      42.239       86.250
SET      44.031       87.500
SET      44.799       88.125
SET      45.823       88.750
SET      46.591       89.375
SET      47.871       90.000
SET      48.895       90.625
SET      50.175       91.250
SET      51.455       91.875
SET      53.247       92.500
SET      55.039       93.125
SET      57.087       93.750
SET      58.367       94.062
SET      59.647       94.375
SET      61.183       94.688
SET      62.975       95.000
SET      65.023       95.312
SET      67.071       95.625
SET      69.631       95.938
SET      72.191       96.250
SET      75.775       96.562
SET      80.383       96.875
SET      82.943       97.031
SET      86.015       97.188
SET      89.087       97.344
SET      92.671       97.500
SET      96.255       97.656
SET     100.351       97.812
SET     104.447       97.969
SET     108.543       98.125
SET     113.663       98.281
SET     119.295       98.438
SET     122.367       98.516
SET     125.439       98.594
SET     127.999       98.672
SET     132.095       98.750
SET     135.167       98.828
SET     139.263       98.906
SET     142.335       98.984
SET     146.431       99.062
SET     150.527       99.141
